r,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH0,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4
22,0.9648318215427736,1.7660589546347283,0.7236583324994357,0.7645850786300954,2.598803565006691,0.7923507765886396,0.6414013177023858,0.9504734890033978,2.2662975373309107,1.057539549860844,0.678457873463616,1.7037510942365537,0.676070071714965,1.0913988515791813,1.0411336859782885,2.1086355314587015,2.523899167555356,1.347168262395017,1.0836471551413416,2.759628864381165
23,0.9146040571376605,1.6808472687587401,0.8352719483680027,0.7057582789929783,2.611686011703857,0.6904415268939363,0.5780649338078393,0.7379488936052293,2.180621156790977,0.7577160268422342,0.38772040359332394,1.648883610305288,0.7055544048802324,1.0439366249808344,1.0765743741365459,2.0441149112897357,2.4035072610512414,1.2384794873844223,1.092254539433835,2.5261588633189214
24,0.9966759962500372,1.7723569407868836,0.7024777615237198,0.7861314277752629,2.6171957696637094,0.8367566696942713,0.6804240767252131,1.0027562314090754,2.2974658489944693,1.1997247535935724,0.7263957743372295,1.745249891622228,0.6620534844906517,1.130569367701726,1.0733657687670606,2.1391455171529925,2.571333155358974,1.3963904291668772,1.1367169039204121,2.801073298241317
25,0.9708206856439278,1.774237936609413,0.725921303039389,0.7908851353762346,2.613862243325722,0.7921428269323687,0.5929836338989578,0.9441004729593111,2.3042195146993536,0.9679647132714654,0.5218234429359591,1.6976085737994888,0.6584374655792303,1.0986739625075521,1.0471626942920864,2.1192097452037193,2.5390309870754204,1.352720927074364,1.10694675974286,2.75529108222756
26,1.0078481750159045,1.7027028044019454,0.7573617424668148,0.7917410523711306,2.7129514602840206,0.877251412468453,0.6006982909164917,1.0308908659961133,2.280730473282886,1.385711656634898,0.8871821184104034,1.9636469397388927,0.6858059748140495,1.2526979986663602,1.2032447937520494,2.1487293054351952,2.591008447087177,1.5053751171479,1.2610790238435672,2.8180894744654617
27,0.8908800858699938,1.7352738987856082,0.7757660483887105,0.7126726858553512,2.5383518625214077,0.6563485920646778,0.5660421449008104,0.7599830623899703,2.2142696344752,0.7924337937873064,0.35315695587800233,1.490940568808849,0.6978082635555598,0.9778106330889033,0.9600677643027583,2.0483428654502536,2.4171773657346223,1.1663121527164015,0.9939285932565993,2.555427403294087
28,1.0067562467306468,1.704029779451617,0.770175035924971,0.8120989746160555,2.724961708471972,0.8441912746690962,0.6232548350336787,0.9895202056051455,2.310210368520224,1.1466416807792246,0.7196928783264352,1.9248752094549153,0.6654518540353263,1.213275105608462,1.209560142712879,2.1573375240307464,2.6108874290914312,1.485251876388458,1.2825177419495257,2.7854471880554255
29,0.94958218296114,1.6789995934854742,0.7636154186678924,0.72829955238361,2.655529797531321,0.7481924690325527,0.5840432154913165,0.8264426981802744,2.211321094532233,0.7938411964358661,0.38117357194268886,1.7634585555497584,0.6830882285645398,1.0672298848873525,1.148985309425102,2.0955551063950217,2.475516131158524,1.3322956674508855,1.1605707810272234,2.62406613805669
30,0.9803481342347817,1.7586357208423733,0.6796616595076099,0.734565076242427,2.5731484619956198,0.8171040819927361,0.6468743154690687,0.9503189888949912,2.222533494692223,1.2760768934757534,0.7414781866483341,1.6902531317912648,0.7030918714875982,1.0673128668263356,1.0522531186921422,2.1117782961240588,2.5025068049983235,1.340526404781591,1.0722004189751675,2.755073276785911
31,0.9466167340589904,1.7095725975141145,0.7469931973184369,0.7319981543208546,2.6399257296265537,0.7906708191361902,0.6273585579313689,0.8754088065325684,2.193624492112067,0.9142511550366824,0.480841457623064,1.808862798670725,0.7145166802342591,1.0917045724383079,1.1418866799716125,2.084900574654632,2.456388016917695,1.3730626526740461,1.1371822083352676,2.6872311631334873
